p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year,plyr_number
nickbellore_sea_2022_6,sea_2022_6,nickbellore_sea_2022,sea_2022,nickbellore,6515,lb,sea,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
johnathanhankins_lv_2022_6,lv_2022_6,johnathanhankins_lv_2022,lv_2022,johnathanhankins,7830,di,lv,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
loganryan_tb_2022_6,tb_2022_6,loganryan_tb_2022,tb_2022,loganryan,7864,s,tb,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jordanpoyer_buf_2022_6,buf_2022_6,jordanpoyer_buf_2022,buf_2022,jordanpoyer,8000,s,buf,1,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
arikarmstead_sf_2022_6,sf_2022_6,arikarmstead_sf_2022,sf_2022,arikarmstead,9450,di,sf,1,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
buddupree_ten_2022_6,ten_2022_6,buddupree_ten_2022,ten_2022,buddupree,9455,ed,ten,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
treyflowers_mia_2022_6,mia_2022_6,treyflowers_mia_2022,mia_2022,treyflowers,9534,ed,mia,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
davidmayo_was_2022_6,was_2022_6,davidmayo_was_2022,was_2022,davidmayo,9602,lb,was,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
xavienhoward_mia_2022_6,mia_2022_6,xavienhoward_mia_2022,mia_2022,xavienhoward,10672,cb,mia,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
ericmurray_hou_2022_6,hou_2022_6,ericmurray_hou_2022,hou_2022,ericmurray,10740,cb,hou,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
brandinbryant_buf_2022_6,buf_2022_6,brandinbryant_buf_2022,buf_2022,brandinbryant,11280,di,buf,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
charlesharris_det_2022_6,det_2022_6,charlesharris_det_2022,det_2022,charlesharris,11777,ed,det,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
sidneyjones_sea_2022_6,sea_2022_6,sidneyjones_sea_2022,sea_2022,sidneyjones,11798,cb,sea,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jayonbrown_lv_2022_6,lv_2022_6,jayonbrown_lv_2022,lv_2022,jayonbrown,11910,lb,lv,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
xavierwoods_car_2022_6,car_2022_6,xavierwoods_car_2022,car_2022,xavierwoods,11946,s,car,1,2,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
troydye_min_2022_6,min_2022_6,troydye_min_2022,min_2022,troydye,28251,lb,min,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chrisboard_det_2022_6,det_2022_6,chrisboard_det_2022,det_2022,chrisboard,29456,lb,det,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
krisboyd_min_2022_6,min_2022_6,krisboyd_min_2022,min_2022,krisboyd,34222,cb,min,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
blakecashman_hou_2022_6,hou_2022_6,blakecashman_hou_2022,hou_2022,blakecashman,35413,lb,hou,1,0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
folorunsofatukasi_jax_2022_6,jax_2022_6,folorunsofatukasi_jax_2022,jax_2022,folorunsofatukasi,38558,di,jax,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
mackwilson_ne_2022_6,ne_2022_6,mackwilson_ne_2022,ne_2022,mackwilson,43190,lb,ne,1,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jonathangreenard_hou_2022_6,hou_2022_6,jonathangreenard_hou_2022,hou_2022,jonathangreenard,48407,ed,hou,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tyquanlewis_ind_2022_6,ind_2022_6,tyquanlewis_ind_2022,ind_2022,tyquanlewis,48475,di,ind,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
henrymondeaux_nyg_2022_6,nyg_2022_6,henrymondeaux_nyg_2022,nyg_2022,henrymondeaux,48889,di,nyg,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
keioncrossen_mia_2022_6,mia_2022_6,keioncrossen_mia_2022,mia_2022,keioncrossen,49454,cb,mia,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
shaquilleleonard_ind_2022_6,ind_2022_6,shaquilleleonard_ind_2022,ind_2022,shaquilleleonard,49684,lb,ind,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
amanioruwariye_det_2022_6,det_2022_6,amanioruwariye_det_2022,det_2022,amanioruwariye,50533,cb,det,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tremaineedmunds_buf_2022_6,buf_2022_6,tremaineedmunds_buf_2022,buf_2022,tremaineedmunds,50905,lb,buf,1,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
frankieluvu_car_2022_6,car_2022_6,frankieluvu_car_2022,car_2022,frankieluvu,51028,lb,car,1,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
taylorrapp_lar_2022_6,lar_2022_6,taylorrapp_lar_2022,lar_2022,taylorrapp,51172,s,lar,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
terrelledmunds_pit_2022_6,pit_2022_6,terrelledmunds_pit_2022,pit_2022,terrelledmunds,51334,s,pit,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
hamsahnasirildeen_nyj_2022_6,nyj_2022_6,hamsahnasirildeen_nyj_2022,nyj_2022,hamsahnasirildeen,55898,lb,nyj,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
daronbland_dal_2022_6,dal_2022_6,daronbland_dal_2022,dal_2022,daronbland,56158,cb,dal,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
patrickjohnson_phi_2022_6,phi_2022_6,patrickjohnson_phi_2022,phi_2022,patrickjohnson,56460,ed,phi,1,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
paytonturner_no_2022_6,no_2022_6,paytonturner_no_2022,no_2022,paytonturner,56624,ed,no,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
quintonbohanna_dal_2022_6,dal_2022_6,quintonbohanna_dal_2022,dal_2022,quintonbohanna,56673,di,dal,1,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
anthonyrush_atl_2022_6,atl_2022_6,anthonyrush_atl_2022,atl_2022,anthonyrush,56895,di,atl,1,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
deangelomalone_atl_2022_6,atl_2022_6,deangelomalone_atl_2022,atl_2022,deangelomalone,56941,ed,atl,1,0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
matthewbutler_lv_2022_6,lv_2022_6,matthewbutler_lv_2022,lv_2022,matthewbutler,62931,di,lv,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
akaylebevans_min_2022_6,min_2022_6,akaylebevans_min_2022,min_2022,akaylebevans,65033,cb,min,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
azeezojulari_nyg_2022_6,nyg_2022_6,azeezojulari_nyg_2022,nyg_2022,azeezojulari,81959,ed,nyg,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
thomasbooker_hou_2022_6,hou_2022_6,thomasbooker_hou_2022,hou_2022,thomasbooker,82168,di,hou,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
devontewyatt_gb_2022_6,gb_2022_6,devontewyatt_gb_2022,gb_2022,devontewyatt,82268,di,gb,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
israelmukuamu_dal_2022_6,dal_2022_6,israelmukuamu_dal_2022,dal_2022,israelmukuamu,83377,s,dal,1,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
deshaandixon_jax_2022_6,jax_2022_6,deshaandixon_jax_2022,jax_2022,deshaandixon,91129,ed,jax,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
brandinechols_nyj_2022_6,nyj_2022_6,brandinechols_nyj_2022,nyj_2022,brandinechols,98900,cb,nyj,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
princeemili_buf_2022_6,buf_2022_6,princeemili_buf_2022,buf_2022,princeemili,106599,di,buf,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
calaiscampbell_bal_2022_6,bal_2022_6,calaiscampbell_bal_2022,bal_2022,calaiscampbell,4364,di,bal,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tysonalualu_pit_2022_6,pit_2022_6,tysonalualu_pit_2022,pit_2022,tysonalualu,5535,di,pit,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
brandongraham_phi_2022_6,phi_2022_6,brandongraham_phi_2022,phi_2022,brandongraham,5538,ed,phi,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jasonpierrepaul_bal_2022_6,bal_2022_6,jasonpierrepaul_bal_2022,bal_2022,jasonpierrepaul,5540,ed,bal,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kareemjackson_den_2022_6,den_2022_6,kareemjackson_den_2022,den_2022,kareemjackson,5545,s,den,1,3,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
devinmccourty_ne_2022_6,ne_2022_6,devinmccourty_ne_2022,ne_2022,devinmccourty,5552,s,ne,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jerryhughes_hou_2022_6,hou_2022_6,jerryhughes_hou_2022,hou_2022,jerryhughes,5556,ed,hou,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
carlosdunlap_kc_2022_6,kc_2022_6,carlosdunlap_kc_2022,kc_2022,carlosdunlap,5579,ed,kc,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
coreypeters_jax_2022_6,jax_2022_6,coreypeters_jax_2022,jax_2022,coreypeters,5607,di,jax,1,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
alwoods_sea_2022_6,sea_2022_6,alwoods_sea_2022,sea_2022,alwoods,5646,di,sea,1,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
vonmiller_buf_2022_6,buf_2022_6,vonmiller_buf_2022,buf_2022,vonmiller,6154,ed,buf,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
patrickpeterson_min_2022_6,min_2022_6,patrickpeterson_min_2022,min_2022,patrickpeterson,6157,cb,min,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jjwatt_ari_2022_6,ari_2022_6,jjwatt_ari_2022,ari_2022,jjwatt,6163,ed,ari,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
robertquinn_chi_2022_6,chi_2022_6,robertquinn_chi_2022,chi_2022,robertquinn,6166,ed,chi,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
cameronjordan_no_2022_6,no_2022_6,cameronjordan_no_2022,no_2022,cameronjordan,6176,ed,no,1,1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
cameronheyward_pit_2022_6,pit_2022_6,cameronheyward_pit_2022,pit_2022,cameronheyward,6183,di,pit,1,2,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chrisharrisjr_no_2022_6,no_2022_6,chrisharrisjr_no_2022,no_2022,chrisharrisjr,6457,cb,no,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
joshbynes_bal_2022_6,bal_2022_6,joshbynes_bal_2022,bal_2022,joshbynes,6503,lb,bal,1,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
marioaddison_hou_2022_6,hou_2022_6,marioaddison_hou_2022,hou_2022,marioaddison,6558,ed,hou,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
stephongilmore_ind_2022_6,ind_2022_6,stephongilmore_ind_2022,ind_2022,stephongilmore,7016,cb,ind,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
fletchercox_phi_2022_6,phi_2022_6,fletchercox_phi_2022,phi_2022,fletchercox,7018,di,phi,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
michaelbrockers_det_2022_6,det_2022_6,michaelbrockers_det_2022,det_2022,michaelbrockers,7020,di,det,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
melviningramiii_mia_2022_6,mia_2022_6,melviningramiii_mia_2022,mia_2022,melviningramiii,7024,ed,mia,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chandlerjones_lv_2022_6,lv_2022_6,chandlerjones_lv_2022,lv_2022,chandlerjones,7027,ed,lv,1,0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
bobbywagner_lar_2022_6,lar_2022_6,bobbywagner_lar_2022,lar_2022,bobbywagner,7050,lb,lar,1,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
lavontedavid_tb_2022_6,tb_2022_6,lavontedavid_tb_2022,tb_2022,lavontedavid,7060,lb,tb,1,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
caseyhaywardjr_atl_2022_6,atl_2022_6,caseyhaywardjr_atl_2022,atl_2022,caseyhaywardjr,7064,cb,atl,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
demariodavis_no_2022_6,no_2022_6,demariodavis_no_2022,no_2022,demariodavis,7079,lb,no,1,1,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
rodneymcleod_ind_2022_6,ind_2022_6,rodneymcleod_ind_2022,ind_2022,rodneymcleod,7271,s,ind,1,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tashaungipsonsr_sf_2022_6,sf_2022_6,tashaungipsonsr_sf_2022,sf_2022,tashaungipsonsr,7288,s,sf,1,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
harrisonsmith_min_2022_6,min_2022_6,harrisonsmith_min_2022,min_2022,harrisonsmith,7641,s,min,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
dariusslay_phi_2022_6,phi_2022_6,dariusslay_phi_2022,phi_2022,dariusslay,7817,cb,phi,1,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jonbostic_was_2022_6,was_2022_6,jonbostic_was_2022,was_2022,jonbostic,7831,lb,was,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tyrannmathieu_no_2022_6,no_2022_6,tyrannmathieu_no_2022,no_2022,tyrannmathieu,7850,s,no,1,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
johnjenkins_mia_2022_6,mia_2022_6,johnjenkins_mia_2022,mia_2022,johnjenkins,7863,di,mia,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
duronharmon_lv_2022_6,lv_2022_6,duronharmon_lv_2022,lv_2022,duronharmon,7872,s,lv,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
akeemspence_sf_2022_6,sf_2022_6,akeemspence_sf_2022,sf_2022,akeemspence,7882,di,sf,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
williamgholston_tb_2022_6,tb_2022_6,williamgholston_tb_2022,tb_2022,williamgholston,7908,di,tb,1,2,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
nickwilliams_nyg_2022_6,nyg_2022_6,nickwilliams_nyg_2022,nyg_2022,nickwilliams,8006,di,nyg,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tonyjefferson_nyg_2022_6,nyg_2022_6,tonyjefferson_nyg_2022,nyg_2022,tonyjefferson,8361,s,nyg,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
brandoncopeland_bal_2022_6,bal_2022_6,brandoncopeland_bal_2022,bal_2022,brandoncopeland,8378,ed,bal,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chrisbanjo_ari_2022_6,ari_2022_6,chrisbanjo_ari_2022,ari_2022,chrisbanjo,8419,s,ari,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
mikepurcell_den_2022_6,den_2022_6,mikepurcell_den_2022,den_2022,mikepurcell,8530,di,den,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jadeveonclowney_cle_2022_6,cle_2022_6,jadeveonclowney_cle_2022,cle_2022,jadeveonclowney,8636,ed,cle,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
khalilmack_lac_2022_6,lac_2022_6,khalilmack_lac_2022,lac_2022,khalilmack,8640,ed,lac,1,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
anthonybarr_dal_2022_6,dal_2022_6,anthonybarr_dal_2022,dal_2022,anthonybarr,8644,lb,dal,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
aarondonald_lar_2022_6,lar_2022_6,aarondonald_lar_2022,lar_2022,aarondonald,8648,di,lar,1,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
cjmosley_nyj_2022_6,nyj_2022_6,cjmosley_nyj_2022,nyj_2022,cjmosley,8652,lb,nyj,1,1,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jimmieward_sf_2022_6,sf_2022_6,jimmieward_sf_2022,sf_2022,jimmieward,8665,s,sf,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
bradleyroby_no_2022_6,no_2022_6,bradleyroby_no_2022,no_2022,bradleyroby,8666,cb,no,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
demarcuslawrence_dal_2022_6,dal_2022_6,demarcuslawrence_dal_2022,dal_2022,demarcuslawrence,8669,ed,dal,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kylevannoy_lac_2022_6,lac_2022_6,kylevannoy_lac_2022,lac_2022,kylevannoy,8675,ed,lac,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
lamarcusjoyner_nyj_2022_6,nyj_2022_6,lamarcusjoyner_nyj_2022,nyj_2022,lamarcusjoyner,8676,s,nyj,1,1,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
christiankirksey_hou_2022_6,hou_2022_6,christiankirksey_hou_2022,hou_2022,christiankirksey,8706,lb,hou,1,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
justinellis_nyg_2022_6,nyg_2022_6,justinellis_nyg_2022,nyg_2022,justinellis,8742,di,nyg,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
daquanjones_buf_2022_6,buf_2022_6,daquanjones_buf_2022,buf_2022,daquanjones,8747,di,buf,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
brenturban_bal_2022_6,bal_2022_6,brenturban_bal_2022,bal_2022,brenturban,8769,di,bal,1,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
devonkennard_ari_2022_6,ari_2022_6,devonkennard_ari_2022,ari_2022,devonkennard,8809,ed,ari,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
shelbyharris_sea_2022_6,sea_2022_6,shelbyharris_sea_2022,sea_2022,shelbyharris,8869,di,sea,1,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
terrancemitchell_ten_2022_6,ten_2022_6,terrancemitchell_ten_2022,ten_2022,terrancemitchell,8888,cb,ten,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
denicoautry_ten_2022_6,ten_2022_6,denicoautry_ten_2022,ten_2022,denicoautry,8982,ed,ten,1,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
