Player,Team,Pos,Injury,Status,Est. Return
Jamal Adams,SEA,S,Knee,IR,Subscribers Only
Matt Adams,CHI,LB,Calf,IR,Subscribers Only
Rodney Adams,NYJ,WR,Illness,NFI-R,Subscribers Only
Paulson Adebo,NO,CB,Knee,Inactive,Subscribers Only
Olasunkanmi Adeniyi,TEN,LB,Neck,IR,Subscribers Only
Nelson Agholor,NE,WR,Hamstring,Questionable,Subscribers Only
Jamal Agnew,JAX,WR,Knee,Questionable,Subscribers Only
Cam Akers,LAR,RB,Personal,Questionable,Subscribers Only
Azeez Al-Shaair,SF,LB,Knee - MCL,IR,Subscribers Only
Otaro Alaka,FA,LB,Undisclosed,Questionable,Subscribers Only
Isaac Alarcon,FA,OT,Ankle,Questionable,Subscribers Only
Christian Albright,FA,LB,Undisclosed,Questionable,Subscribers Only
Mackensie Alexander,FA,CB,Groin,Questionable,Subscribers Only
Dee Alford,ATL,CB,Hamstring,Questionable,Subscribers Only
Brian Allen,LAR,C,Knee,Questionable,Subscribers Only
Christopher Allen,DEN,LB,Foot,IR,Subscribers Only
Keenan Allen,LAC,WR,Hamstring,Questionable,Subscribers Only
Tremayne Anchrum,LAR,OT,Lower Leg,IR,Subscribers Only
Darius Anderson,HOU,RB,Knee,IR,Subscribers Only
Henry Anderson,CAR,DE,Elbow,Questionable,Subscribers Only
Tycen Anderson,CIN,S,Hamstring,IR,Subscribers Only
Mark Andrews,BAL,TE,Knee,Questionable,Subscribers Only
Ezekiel Ansah,FA,DE,Biceps,Questionable,Subscribers Only
Andre Anthony,FA,LB,Undisclosed,Out,Subscribers Only
Arik Armstead,SF,DE,Foot,Questionable,Subscribers Only
Terron Armstead,MIA,OT,Toe,Questionable,Subscribers Only
Jaytlin Askew,FA,CB,Quadriceps,Questionable,Subscribers Only
Antony Auclair,FA,TE,Knee,Questionable,Subscribers Only
Calvin Austin,PIT,WR,Foot,IR-R,Subscribers Only
Anthony Averett,LV,CB,Thumb,IR-R,Subscribers Only
C. J. Avery,FA,LB,Undisclosed,Questionable,Subscribers Only
Joe Bachie,CIN,LB,Knee - ACL,PUP-R,Subscribers Only
Jerome Baker,MIA,LB,Hip,Questionable,Subscribers Only
David Bakhtiari,GB,OT,Knee,Questionable,Subscribers Only
Eric Banks,FA,DT,Undisclosed,Questionable,Subscribers Only
Saquon Barkley,NYG,RB,Shoulder,Questionable,Subscribers Only
Christian Barmore,NE,DT,Knee,Questionable,Subscribers Only
Kenjon Barner,FA,RB,Undisclosed,Questionable,Subscribers Only
Krys Barnes,GB,LB,Ankle,IR,Subscribers Only
Derek Barnett,PHI,DE,Knee - ACL,IR,Subscribers Only
Ben Bartch,JAX,OG,Knee,IR,Subscribers Only
Tarell Basham,DAL,DE,Thigh,IR-R,Subscribers Only
Essang Bassey,DEN,CB,Hamstring,Out,Subscribers Only
Rashod Bateman,BAL,WR,Foot,Questionable,Subscribers Only
John Bates,WAS,TE,Hamstring,Questionable,Subscribers Only
Nick Bawden,NYJ,FB,Undisclosed,IR,Subscribers Only
Evan Baylis,FA,TE,Ankle,Questionable,Subscribers Only
Darrian Beavers,NYG,LB,Knee - ACL,IR,Subscribers Only
Willie Beavers,FA,OG,Undisclosed,Questionable,Subscribers Only
Nate Becker,FA,TE,Undisclosed,Questionable,Subscribers Only
Odell Beckham,FA,WR,Knee - ACL,Questionable,Subscribers Only
Mekhi Becton,NYJ,OT,Kneecap,IR,Subscribers Only
Blake Bell,KC,TE,Hip,IR,Subscribers Only
Greg Bell,DET,RB,Hamstring,IR,Subscribers Only
B.J. Bello,FA,LB,Ankle,Questionable,Subscribers Only
Giovani Bernard,TB,RB,Ankle,IR,Subscribers Only
Jared Bernhardt,ATL,WR,Groin,Questionable,Subscribers Only
Braxton Berrios,NYJ,WR,Back,Questionable,Subscribers Only
Vince Biegel,BAL,LB,Achilles,IR,Subscribers Only
Chris Board,DET,LB,Knee,Questionable,Subscribers Only
Jacob Bobenmoyer,DEN,C,Thumb,IR,Subscribers Only
Ike Boettger,BUF,OG,Achilles,PUP-R,Subscribers Only
Slade Bolden,FA,WR,Undisclosed,Questionable,Subscribers Only
Garett Bolles,DEN,OT,Leg,IR,Subscribers Only
Devante Bond,DAL,LB,Knee,IR,Subscribers Only
Joey Bosa,LAC,LB,Groin,IR,Subscribers Only
Nick Bosa,SF,DE,Groin,Questionable,Subscribers Only
Kendrick Bourne,NE,WR,Toe,Questionable,Subscribers Only
Tyus Bowser,BAL,LB,Achilles,PUP-R,Subscribers Only
Ben Braden,FA,OG,Undisclosed,Questionable,Subscribers Only
Cameron Brate,TB,TE,Neck,Questionable,Subscribers Only
Brady Breeze,FA,S,Undisclosed,Questionable,Subscribers Only
Shemar Bridges,FA,WR,Undisclosed,Questionable,Subscribers Only
Beau Brinkley,ATL,C,Undisclosed,IR,Subscribers Only
Justin Britt,HOU,C,Personal,NFI-R,Subscribers Only
Gabe Brkic,FA,K,Hamstring,Questionable,Subscribers Only
Antonio Brown,FA,WR,Ankle,Questionable,Subscribers Only
Ben Brown,CIN,C,Biceps,IR,Subscribers Only
Bobby Brown,LAR,DT,Ankle,Questionable,Subscribers Only
Daniel Brown,FA,TE,Hip,Questionable,Subscribers Only
Duane Brown,NYJ,OT,Shoulder,Questionable,Subscribers Only
Dyami Brown,WAS,WR,Groin,Questionable,Subscribers Only
Jayon Brown,LV,LB,Hamstring,Questionable,Subscribers Only
Marquise Brown,ARI,WR,Foot,IR,Subscribers Only
Mike Brown,FA,OG,Undisclosed,Questionable,Subscribers Only
Shakur Brown,FA,CB,Undisclosed,Questionable,Subscribers Only
Spencer Brown,BUF,OT,Foot,Questionable,Subscribers Only
Tre Brown,SEA,CB,Knee,PUP-R,Subscribers Only
Logan Bruss,LAR,OG,Knee - ACL + MCL,IR,Subscribers Only
Hunter Bryant,FA,TE,Undisclosed,Questionable,Subscribers Only
Bryan Bulaga,FA,OT,Back,Questionable,Subscribers Only
Ian Bunting,DAL,TE,Neck,IR,Subscribers Only
Treylon Burks,TEN,WR,Toe,IR,Subscribers Only
Artie Burns,SEA,CB,Groin,Questionable,Subscribers Only
Ben Burr-Kirven,SEA,LB,Knee - ACL,PUP-R,Subscribers Only
Matt Bushman,FA,TE,Collarbone,Questionable,Subscribers Only
Adam Butler,FA,DE,Undisclosed,Questionable,Subscribers Only
Malcolm Butler,FA,CB,Undisclosed,Questionable,Subscribers Only
Akial Byers,FA,DT,Undisclosed,Questionable,Subscribers Only
Jason Cabinda,DET,FB,Ankle,PUP-R,Subscribers Only
Yodny Cajuste,NE,OT,Thumb,IR,Subscribers Only
Antonio Callaway,FA,WR,Knee,Questionable,Subscribers Only
Calais Campbell,BAL,DE,Foot,Questionable,Subscribers Only
Chance Campbell,TEN,LB,Knee,IR,Subscribers Only
Ibraheim Campbell,FA,S,Ankle,Questionable,Subscribers Only
Trenton Cannon,TEN,RB,Knee,IR,Subscribers Only
Dylan Cantrell,FA,TE,Undisclosed,Questionable,Subscribers Only
Alex Cappa,CIN,OG,Illness,Questionable,Subscribers Only
Patrick Carr,FA,RB,Undisclosed,Questionable,Subscribers Only
Cethan Carter,MIA,TE,Concussion,IR,Subscribers Only
Jamal Carter,FA,S,Undisclosed,Questionable,Subscribers Only
Tory Carter,TEN,FB,Neck,Questionable,Subscribers Only
Tariq Castro-Fields,WAS,CB,Knee,Questionable,Subscribers Only
Quintez Cephus,DET,WR,Foot,IR,Subscribers Only
K'Lavon Chaisson,JAX,LB,Knee - Meniscus,IR,Subscribers Only
Sean Chandler,CAR,S,Hamstring,Questionable,Subscribers Only
Ty Chandler,MIN,RB,Thumb,IR,Subscribers Only
DJ Chark,DET,WR,Ankle,Questionable,Subscribers Only
Ja'Marr Chase,CIN,WR,Hip,Questionable,Subscribers Only
Jeremy Chinn,CAR,S,Hamstring,IR,Subscribers Only
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,Subscribers Only
Jack Cichy,FA,LB,Arm,Questionable,Subscribers Only
Lewis Cine,MIN,S,Leg,IR,Subscribers Only
Damone Clark,DAL,LB,Back,NFI-R,Subscribers Only
Darius Clark,FA,RB,Knee,Questionable,Subscribers Only
Ben Cleveland,BAL,OG,Foot,Questionable,Subscribers Only
Tyrie Cleveland,DEN,WR,Shoulder,Questionable,Subscribers Only
Kameron Cline,FA,DT,Concussion,Questionable,Subscribers Only
Jadeveon Clowney,CLE,DE,Ankle,Questionable,Subscribers Only
Randall Cobb,GB,WR,Ankle,Out,Subscribers Only
Tarik Cohen,FA,RB,Achilles,Out,Subscribers Only
L.J. Collier,SEA,DE,Elbow,IR-R,Subscribers Only
Alex Collins,FA,RB,Abdomen,Questionable,Subscribers Only
John Cominsky,DET,DT,Wrist,Questionable,Subscribers Only
Tom Compton,DEN,OT,Back,PUP-R,Subscribers Only
Jack Conklin,CLE,OT,Ankle,Questionable,Subscribers Only
Gareon Conley,FA,CB,Ankle,Questionable,Subscribers Only
James Conner,ARI,RB,Ribs,Inactive,Subscribers Only
Cody Conway,FA,OT,Knee - ACL,Questionable,Subscribers Only
Bryan Cook,KC,S,Concussion,Questionable,Subscribers Only
Cody Core,FA,WR,Undisclosed,Questionable,Subscribers Only
Jashon Cornell,FA,DT,Undisclosed,Questionable,Subscribers Only
Matt Corral,CAR,QB,Foot,IR,Subscribers Only
Samuel Cosmi,WAS,OT,Finger,Questionable,Subscribers Only
Nathan Cottrell,FA,RB,Undisclosed,Questionable,Subscribers Only
Keke Coutee,IND,WR,Concussion,Questionable,Subscribers Only
Rashaad Coward,FA,OG,Undisclosed,Questionable,Subscribers Only
Damarea Crockett,DEN,RB,Knee - ACL,IR,Subscribers Only
Tyrell Crosby,FA,OT,Back,Questionable,Subscribers Only
Keion Crossen,MIA,CB,Knee,Questionable,Subscribers Only
Jamison Crowder,BUF,WR,Ankle,IR,Subscribers Only
Isaiah Crowell,FA,RB,Achilles,Questionable,Subscribers Only
Zach Cunningham,TEN,LB,Elbow,Questionable,Subscribers Only
Tae Daley,ARI,S,Undisclosed,IR,Subscribers Only
Mike Danna,KC,DE,Calf,Questionable,Subscribers Only
Ronald Darby,DEN,CB,Knee,IR,Subscribers Only
Sam Darnold,CAR,QB,Ankle,IR-R,Subscribers Only
D.J. Davidson,NYG,DT,Knee - ACL,IR,Subscribers Only
Marlon Davidson,ATL,DT,Knee,IR,Subscribers Only
Ashtyn Davis,NYJ,S,Hamstring,Questionable,Subscribers Only
Carlton Davis,TB,CB,Hip,Questionable,Subscribers Only
Cody Davis,NE,S,Knee,IR,Subscribers Only
Danny Davis,FA,WR,Ankle,Questionable,Subscribers Only
Kalia Davis,SF,DT,Undisclosed,NFI-R,Subscribers Only
Nate Davis,TEN,OG,Knee,Questionable,Subscribers Only
Quartney Davis,FA,WR,Shoulder,Questionable,Subscribers Only
Shawn Davis,FA,S,Abdomen,Questionable,Subscribers Only
Sheldon Day,FA,DT,Back,Questionable,Subscribers Only
Dawson Deaton,CLE,C,Knee - ACL,IR,Subscribers Only
Austin Deculus,HOU,OT,Ankle,Questionable,Subscribers Only
Trevor Denbow,IND,S,Undisclosed,IR,Subscribers Only
J.K. Dobbins,BAL,RB,Knee,Questionable,Subscribers Only
Jahan Dotson,WAS,WR,Hamstring,Questionable,Subscribers Only
Rico Dowdle,DAL,RB,Ankle,IR,Subscribers Only
Tommy Doyle,BUF,OT,Knee - ACL,IR,Subscribers Only
Dakota Dozier,CHI,OG,Knee - ACL,IR,Subscribers Only
Josh Drayden,FA,CB,Undisclosed,Questionable,Subscribers Only
Ashton Dulin,IND,WR,Foot,IR,Subscribers Only
Isaiah Dunn,SEA,CB,Hamstring,Questionable,Subscribers Only
Cobie Durant,LAR,CB,Hamstring,Questionable,Subscribers Only
Michael Dwumfour,HOU,DE,Undisclosed,IR,Subscribers Only
Jerrion Ealy,FA,RB,Suspension,Out,Subscribers Only
Nate Ebner,FA,S,Ankle,Questionable,Subscribers Only
Samson Ebukam,SF,DE,Achilles,Questionable,Subscribers Only
David Edwards,LAR,OG,Concussion,IR,Subscribers Only
Gus Edwards,BAL,RB,Knee - ACL,PUP-R,Subscribers Only
Sam Eguavoen,MIA,LB,Illness,Questionable,Subscribers Only
Milo Eifler,WAS,LB,Hamstring,IR,Subscribers Only
Duke Ejiofor,FA,LB,Undisclosed,Questionable,Subscribers Only
Pat Elflein,CAR,C,Hip,Questionable,Subscribers Only
Ben Ellefson,MIN,TE,Groin,IR,Subscribers Only
Alex Ellis,FA,TE,Undisclosed,Questionable,Subscribers Only
Noah Elliss,FA,DT,Undisclosed,Questionable,Subscribers Only
Donnie Ernsberger,FA,TE,Undisclosed,Questionable,Subscribers Only
Tyler Ervin,FA,RB,Foot,Questionable,Subscribers Only
Drew Estrada,FA,WR,Leg,Questionable,Subscribers Only
Jequez Ezzard,FA,WR,Undisclosed,Questionable,Subscribers Only
George Fant,NYJ,OT,Knee,IR,Subscribers Only
Folorunso Fatukasi,JAX,DT,Quadriceps,Questionable,Subscribers Only
Simi Fehoko,DAL,WR,Shoulder,IR,Subscribers Only
Jon Feliciano,NYG,OG,Groin,Questionable,Subscribers Only
Rashad Fenton,KC,CB,Hamstring,Questionable,Subscribers Only
Sharif Finch,FA,LB,Undisclosed,Questionable,Subscribers Only
B.J. Finney,FA,OG,Back,Questionable,Subscribers Only
John FitzPatrick,ATL,TE,Undisclosed,IR,Subscribers Only
Cor'Dale Flott,NYG,CB,Calf,Questionable,Subscribers Only
Trey Flowers,MIA,LB,Foot,IR,Subscribers Only
Dee Ford,FA,DE,Back,Questionable,Subscribers Only
Jerome Ford,CLE,RB,Ankle,IR,Subscribers Only
L.J. Fort,FA,LB,Knee - ACL,Questionable,Subscribers Only
Robert Foster,FA,WR,Hamstring,Questionable,Subscribers Only
John Franklin,FA,WR,Knee - ACL,Questionable,Subscribers Only
Pat Freiermuth,PIT,TE,Concussion,Questionable,Subscribers Only
Jordan Fuller,LAR,S,Hamstring,IR,Subscribers Only
Kyle Fuller,BAL,CB,Knee - ACL,IR,Subscribers Only
Will Fuller,FA,WR,Finger,Questionable,Subscribers Only
Lamont Gaillard,FA,C,Calf,Questionable,Subscribers Only
Tipa Galeai,GB,LB,Hamstring,IR,Subscribers Only
Max Garcia,ARI,C,Shoulder,Questionable,Subscribers Only
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
Dennis Gardeck,ARI,LB,Ankle,Inactive,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Myles Garrett,CLE,DE,Shoulder,Questionable,Subscribers Only
Nick Gates,NYG,C,Lower Leg,PUP-R,Subscribers Only
Nate Gerry,FA,LB,Undisclosed,Questionable,Subscribers Only
Cam Gill,TB,LB,Foot,IR,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Kenny Golladay,NYG,WR,Knee - MCL,Questionable,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Zane Gonzalez,CAR,K,Groin,IR,Subscribers Only
Derrick Gore,FA,RB,Thumb,Questionable,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Isaiah Graham-Mobley,FA,LB,Undisclosed,Questionable,Subscribers Only
Jakeem Grant,CLE,WR,Achilles,IR,Subscribers Only
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Jonathan Greenard,HOU,DE,Calf,Questionable,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Ethan Greenidge,NO,OT,Knee,IR,Subscribers Only
Randy Gregory,DEN,LB,Knee - Meniscus,IR,Subscribers Only
Everson Griffen,FA,DE,Personal,Questionable,Subscribers Only
Shaquill Griffin,JAX,CB,Back,Questionable,Subscribers Only
Trevon Grimes,FA,WR,Undisclosed,Questionable,Subscribers Only
Ryan Groy,FA,OG,Triceps,Questionable,Subscribers Only
Jeff Gunter,CIN,DE,Knee,Questionable,Subscribers Only
Vitaliy Gurman,FA,OG,Undisclosed,Out,Subscribers Only
Porter Gustin,FA,LB,Undisclosed,Out,Subscribers Only
Lawrence Guy,NE,DE,Shoulder,Questionable,Subscribers Only
Jalen Guyton,LAC,WR,Knee - ACL,IR,Subscribers Only
Joe Haeg,CLE,OT,Concussion,Questionable,Subscribers Only
Grant Haley,LAR,CB,Knee - ACL,IR,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
Terez Hall,FA,LB,Undisclosed,Questionable,Subscribers Only
DaeSean Hamilton,FA,WR,Knee,Questionable,Subscribers Only
DaVon Hamilton,JAX,DT,Foot,Questionable,Subscribers Only
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Da'Shawn Hand,TEN,DT,Quadriceps,IR,Subscribers Only
Jake Hanson,GB,C,Biceps,Questionable,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Daniel Hardy,LAR,LB,Ankle,IR,Subscribers Only
Charles Harris,DET,DE,Groin,Questionable,Subscribers Only
Christian Harris,HOU,LB,Hamstring,IR-R,Subscribers Only
Clark Harris,CIN,C,Biceps,IR,Subscribers Only
Dwayne Harris,FA,WR,Triceps,Questionable,Subscribers Only
Nick Harris,CLE,C,Knee,IR,Subscribers Only
Trent Harris,FA,LB,Undisclosed,Questionable,Subscribers Only
Will Harris,DET,CB,Hip,Questionable,Subscribers Only
Penny Hart,SEA,WR,Hamstring,Questionable,Subscribers Only
Montre Hartage,FA,S,Undisclosed,Questionable,Subscribers Only
Deonte Harty,NO,WR,Foot,IR,Subscribers Only
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,Subscribers Only
Jerald Hawkins,FA,OT,Undisclosed,Questionable,Subscribers Only
Daelin Hayes,BAL,LB,Undisclosed,IR,Subscribers Only
Marquis Hayes,ARI,OG,Knee,IR,Subscribers Only
Casey Hayward,ATL,CB,Shoulder,IR,Subscribers Only
Joel Heath,FA,DE,Knee - ACL,Questionable,Subscribers Only
CJ Henderson,CAR,CB,Concussion,Questionable,Subscribers Only
Thomas Hennigan,MIN,WR,Undisclosed,IR,Subscribers Only
Chandon Herring,FA,OG,Undisclosed,Questionable,Subscribers Only
Frank Herron,FA,DE,Undisclosed,Questionable,Subscribers Only
Justin Herron,LV,OT,Knee,IR,Subscribers Only
Akiem Hicks,TB,DT,Foot,Questionable,Subscribers Only
Kylin Hill,GB,RB,Knee - ACL,PUP-R,Subscribers Only
Troy Hill,LAR,CB,Groin,IR,Subscribers Only
Nyheim Hines,IND,RB,Concussion,Questionable,Subscribers Only
Nate Hobbs,LV,CB,Hand,IR,Subscribers Only
Jared Hocker,FA,OG,Undisclosed,Questionable,Subscribers Only
Darius Hodge,FA,LB,Undisclosed,Questionable,Subscribers Only
Curtis Hodges,WAS,TE,Thigh,IR,Subscribers Only
Mack Hollins,LV,WR,Heel,Questionable,Subscribers Only
Elijah Holyfield,CIN,RB,Knee,IR,Subscribers Only
Travis Homer,SEA,RB,Ribs,IR,Subscribers Only
Dustin Hopkins,LAC,K,Hamstring,Out,Subscribers Only
Jaycee Horn,CAR,CB,Ribs,Questionable,Subscribers Only
Justin Houston,BAL,LB,Groin,Questionable,Subscribers Only
Bug Howard,FA,TE,Undisclosed,Questionable,Subscribers Only
Travin Howard,LAR,LB,Groin,NFI-R,Subscribers Only
Brian Hoyer,NE,QB,Concussion,IR,Subscribers Only
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,Subscribers Only
Rodney Hudson,ARI,C,Knee,Inactive,Subscribers Only
Tommy Hudson,FA,TE,Undisclosed,Questionable,Subscribers Only
Talanoa Hufanga,SF,S,Concussion,Questionable,Subscribers Only
Albert Huggins,NO,DT,Undisclosed,IR,Subscribers Only
Jalen Hurd,FA,WR,Knee,Questionable,Subscribers Only
Allen Hurns,FA,WR,Wrist,Questionable,Subscribers Only
Hayden Hurst,CIN,TE,Groin,Questionable,Subscribers Only
John Hurst,FA,WR,Ankle,Questionable,Subscribers Only
Maurice Hurst,SF,DT,Biceps,IR,Subscribers Only
Carlos Hyde,FA,RB,Concussion,Questionable,Subscribers Only
Micah Hyde,BUF,S,Neck,IR,Subscribers Only
Ishmael Hyman,FA,WR,Undisclosed,Questionable,Subscribers Only
George Iloka,FA,S,Knee - ACL,Questionable,Subscribers Only
Matt Ioannidis,CAR,DT,Neck,Questionable,Subscribers Only
Isaiah Irving,FA,LB,Back,Questionable,Subscribers Only
Daniel Isom,FA,S,Undisclosed,Questionable,Subscribers Only
Thomas Ives,FA,WR,Undisclosed,Questionable,Subscribers Only
Austin Jackson,MIA,OT,Ankle,IR-R,Subscribers Only
Branden Jackson,FA,DE,Spine,Questionable,Subscribers Only
Chris Jackson,TEN,CB,Undisclosed,IR,Subscribers Only
D'Marco Jackson,NO,LB,Undisclosed,IR,Subscribers Only
Donte Jackson,CAR,CB,Ankle,Questionable,Subscribers Only
Drake Jackson,SF,DE,Knee,Questionable,Subscribers Only
Gabe Jackson,SEA,OG,Knee,Questionable,Subscribers Only
Tyree Jackson,PHI,TE,Knee - ACL,PUP-R,Subscribers Only
Warren Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
William Jackson,WAS,CB,Back,Questionable,Subscribers Only
Jerry Jacobs,DET,CB,Knee - ACL,PUP-R,Subscribers Only
Ja'Wuan James,BAL,OT,Achilles,IR,Subscribers Only
Jesse James,CLE,TE,Biceps,IR,Subscribers Only
Kevin Jarvis,FA,OG,Undisclosed,Questionable,Subscribers Only
Blake Jarwin,FA,TE,Hip,Questionable,Subscribers Only
Quinton Jefferson,SEA,DT,Foot,Questionable,Subscribers Only
Tony Jefferson,NYG,S,Foot,IR,Subscribers Only
Van Jefferson,LAR,WR,Knee,IR,Subscribers Only
Jalen Jelks,FA,DE,Undisclosed,Questionable,Subscribers Only
Elgton Jenkins,GB,OT,Knee,Questionable,Subscribers Only
Jordan Jenkins,LV,DE,Knee - ACL,IR,Subscribers Only
Gary Jennings,FA,WR,Concussion,Questionable,Subscribers Only
Ryan Jensen,TB,C,Knee,IR,Subscribers Only
Josey Jewell,DEN,LB,Knee,Questionable,Subscribers Only
Josh Jobe,PHI,CB,Shoulder,Questionable,Subscribers Only
Bisi Johnson,MIN,WR,Knee - ACL,IR,Subscribers Only
Collin Johnson,NYG,WR,Achilles,IR,Subscribers Only
Darryl Johnson,SEA,LB,Ankle,IR,Subscribers Only
Jahmir Johnson,FA,OT,Undisclosed,Questionable,Subscribers Only
Jermaine Johnson,NYJ,DE,Ankle,Questionable,Subscribers Only
Josh Johnson,FA,RB,Undisclosed,Questionable,Subscribers Only
Lane Johnson,PHI,OT,Concussion,Questionable,Subscribers Only
Willie Johnson,JAX,WR,Undisclosed,IR,Subscribers Only
Brett Jones,FA,C,Biceps,Questionable,Subscribers Only
Byron Jones,MIA,CB,Ankle,PUP-R,Subscribers Only
Caleb Jones,GB,OT,Illness,NFI-R,Subscribers Only
Chris Jones,FA,P,Abdomen,Questionable,Subscribers Only
D.J. Jones,DEN,DT,Ankle,Questionable,Subscribers Only
Deion Jones,CLE,LB,Shoulder,IR-R,Subscribers Only
Devin Jones,FA,CB,Undisclosed,Questionable,Subscribers Only
Dre'Mont Jones,DEN,DE,Neck,Questionable,Subscribers Only
Jamarco Jones,TEN,OT,Elbow,IR,Subscribers Only
Joe Jones,TEN,LB,Knee,Questionable,Subscribers Only
Jonathan Jones,NE,CB,Ankle,Questionable,Subscribers Only
Julio Jones,TB,WR,Knee,Questionable,Subscribers Only
Mac Jones,NE,QB,Ankle,Questionable,Subscribers Only
Marvin Jones,JAX,WR,Hamstring,Questionable,Subscribers Only
Xavier Jones,FA,RB,Achilles,Questionable,Subscribers Only
Dion Jordan,FA,DE,Knee,Questionable,Subscribers Only
Karl Joseph,PIT,S,Ankle,IR,Subscribers Only
Michael Joseph,FA,CB,Undisclosed,Questionable,Subscribers Only
Sebastian Joseph-Day,LAC,DT,Ankle,Questionable,Subscribers Only
Matt Kaskey,FA,OT,Foot,Questionable,Subscribers Only
Damontae Kazee,PIT,S,Arm,IR-R,Subscribers Only
Joshua Kelley,LAC,RB,Knee - MCL,Questionable,Subscribers Only
Silas Kelly,FA,LB,Undisclosed,Questionable,Subscribers Only
Brandon King,FA,LB,Hamstring,Questionable,Subscribers Only
Javon Kinlaw,SF,DT,Knee,IR,Subscribers Only
Dre Kirkpatrick,FA,CB,Ankle,Questionable,Subscribers Only
Keith Kirkwood,FA,WR,Ankle,Questionable,Subscribers Only
Micah Kiser,LV,LB,Leg,IR,Subscribers Only
Kader Kohou,MIA,CB,Oblique,Questionable,Subscribers Only
Charlie Kolar,BAL,TE,Sports Hernia,IR-R,Subscribers Only
J.J. Koski,LAR,WR,Shoulder,IR,Subscribers Only
Tommy Kraemer,DET,OG,Back,IR,Subscribers Only
Doug Kramer,CHI,C,Lower Leg,IR,Subscribers Only
Jake Kumerow,BUF,WR,Ankle,Questionable,Subscribers Only
Bruno Labelle,FA,TE,Undisclosed,Questionable,Subscribers Only
Dayan Lake,FA,CB,Undisclosed,Questionable,Subscribers Only
